City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao geraldo do araguaia,-6.4006,-48.555,23.32,94,84,0.75,BR,2023-02-05
1,rapid city,44.0805,-103.231,9.29,46,75,7.72,US,2023-02-05
2,katsuura,35.1333,140.3,9.25,72,11,3.73,JP,2023-02-05
3,jamestown,42.097,-79.2353,5.8,60,100,6.17,US,2023-02-05
4,bluff,-46.6,168.3333,14.64,85,63,10.85,NZ,2023-02-05
5,barcelos,41.5388,-8.6151,11.08,69,0,2.93,PT,2023-02-05
6,yellowknife,62.456,-114.3525,-20.25,77,100,6.17,CA,2023-02-05
7,albany,42.6001,-73.9662,4.36,56,96,2.34,US,2023-02-05
8,port alfred,-33.5906,26.891,22.32,94,58,4.69,ZA,2023-02-05
9,hobart,-42.8794,147.3294,21.7,57,40,7.72,AU,2023-02-05
10,lixourion,38.2019,20.4314,5.35,57,42,1.1,GR,2023-02-05
11,rocha,-34.4833,-54.3333,17.81,86,0,1.81,UY,2023-02-05
12,pevek,69.7008,170.3133,-35.62,96,88,1.59,RU,2023-02-05
13,kodiak,57.79,-152.4072,3.73,100,100,3.09,US,2023-02-05
14,dikson,73.5069,80.5464,-19.12,97,100,0.63,RU,2023-02-05
15,damghan,36.1683,54.348,2.04,43,5,0.92,IR,2023-02-05
16,saint-francois,46.4154,3.9054,4.82,78,100,4.12,FR,2023-02-05
17,tia mare,43.8667,24.6333,-2.7,80,76,2.23,RO,2023-02-05
18,beyneu,45.3167,55.2,-0.7,81,78,2.51,KZ,2023-02-05
19,ilulissat,69.2167,-51.1,-16.99,85,100,9.77,GL,2023-02-05
20,puerto ayora,-0.7393,-90.3518,26.97,92,37,4.02,EC,2023-02-05
21,port moresby,-9.4431,147.1797,28.1,68,100,1.04,PG,2023-02-05
22,vallenar,-28.5708,-70.7581,24.7,48,2,2.0,CL,2023-02-05
23,anadyr,64.75,177.4833,-30.29,74,75,6.0,RU,2023-02-05
24,san quintin,30.4833,-115.95,16.15,80,44,12.19,MX,2023-02-05
25,shuangyang,43.5242,125.6736,-15.47,96,60,1.02,CN,2023-02-05
26,busselton,-33.65,115.3333,21.74,67,22,5.22,AU,2023-02-05
27,bosaso,11.2842,49.1816,22.21,78,33,1.36,SO,2023-02-05
28,vao,-22.6667,167.4833,26.1,85,64,6.94,NC,2023-02-05
29,ushuaia,-54.8,-68.3,7.81,57,40,13.89,AR,2023-02-05
30,qaanaaq,77.484,-69.3632,-18.36,55,17,2.31,GL,2023-02-05
31,punta arenas,-53.15,-70.9167,11.06,62,0,7.2,CL,2023-02-05
32,olavarria,-36.8927,-60.3225,23.25,46,36,3.73,AR,2023-02-05
33,karoi,-16.8099,29.6925,16.9,95,96,1.01,ZW,2023-02-05
34,mataura,-46.1927,168.8643,15.15,77,92,5.24,NZ,2023-02-05
35,khatanga,71.9667,102.5,-36.9,100,55,3.0,RU,2023-02-05
36,telenesti,47.4997,28.3656,-2.63,81,97,5.65,MD,2023-02-05
37,cidreira,-30.1811,-50.2056,23.26,79,70,4.41,BR,2023-02-05
38,husavik,66.0449,-17.3389,6.65,83,100,10.81,IS,2023-02-05
